,Human Universal Affordance,Funtional Name,Objects,Counts,Reference 1,Reference 2,Reference 3,Cultures (From References),Dollar Street topic,image id
0,Practicing hygiene,hand washing,sink,88,"Friedl, E. (1963). Vasilika: a village in modern Greece. In Case studies in cultural anthropology (pp. 18, 110). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=eh01-002","Brink, J. H. van den. (1974). The Haida Indians: cultural change mainly between 1876-1970. In Monographs and theoretical studies in sociology and anthropology in honor of Nels Anderson (pp. x, 275). E. J. Brill. https://ehrafworldcultures.yale.edu/document?id=ne09-007","Dube, S. C. (Shyama C. (1955). Indian village. Cornell University Press. https://ehrafworldcultures.yale.edu/document?id=aw17-001","Europe-Greece, Asia-India, America-United States",hand washing,assets/5fd0399df2d9500e4358e6ac/05f7a1b1ce32f2d0f092c0e41ada1cdc/previews/1024_01.jpg
1,Practicing hygiene,hand washing,faucet,125,"El-Or, T., & Watzman, H. (1994). Educated and ignorant: ultraorthodox Jewish women and their world. Lynne Rienner Publishers. https://ehrafworldcultures.yale.edu/document?id=mf01-004",,,Asia-Israel,hand washing,assets/5fd04d6bf2d9500e435966db/43308fead79de87d5a177c407e0052c3/previews/1024_01.jpg
2,Practicing hygiene,hand washing,bottle,67,"Chapelle, J., & Schütze, F. (1957). Black nomads of the Sahara. Librairie Plon. https://ehrafworldcultures.yale.edu/document?id=ms22-008",,,Africa-Chad,hand washing,assets/5fd22894955d2f758665bce1/c6852085f7c42922483ca04d6ecc714a/previews/1024_01.jpg
3,Practicing hygiene,hand washing,soap,39,"Foster, G. M. (1944). A summary of Yuki culture. In Anthropological records (pp. v, 155–244). University of California Press. https://ehrafworldcultures.yale.edu/document?id=ns30-002",,,America-US,hand washing,assets/5fd04200f2d9500e43591cb4/fea32068cfe86b420240112413423924/previews/1024_01.jpg
4,Practicing hygiene,hand washing,hose,3,"Gutierrez, C. P. (1992). Cajun foodways. University Press of Mississippi. https://ehrafworldcultures.yale.edu/document?id=no12-007",,,America-US,hand washing,assets/5d4be7fccf0b3a0f3f34665f/5d4be7fccf0b3a0f3f34665f.jpg
5,Practicing hygiene,hand washing,water,125,"Kavena, Juanita Tiger. 1980. Hopi Cookery. Tucson: University of Arizona Press. https://ehrafworldcultures.yale.edu/document?id=nt09-046.","Breton, Raymond, Marshall Bassford McKusick, and Pierre Verin. 1665. “Carib-French Dictionary.” In . A Avxerre: Par Gilles Bovqvet. https://ehrafworldcultures.yale.edu/document?id=st13-002.",,"America-US, America-Dominican Republic",hand washing,assets/5d4bedcbcf0b3a0f3f350458/5d4bedcbcf0b3a0f3f350458.jpg
6,Practicing hygiene,hand washing,bucket,21,"Skinner, Elliott P. (Elliott Percival). 1974. African Urban Life: The Transformation of Ouagadougou. Princeton, N.J.: Princeton University Press. https://ehrafworldcultures.yale.edu/document?id=fa28-013.",,,Africa-Burkina Faso,hand washing,assets/5fd03443f2d9500e4358c561/2c9cd83801f90701f7f0692215b762f0/previews/1024_01.jpg
7,Practicing hygiene,hand washing,sponge,17,"Roscoe, J. (1911). The Baganda: an account of their native customs and beliefs. Macmillan and Co. https://ehrafworldcultures.yale.edu/document?id=fk07-002",,,Africa-Uganda,hand washing,assets/5fd04186f2d9500e4359198e/8b3e15e86996c54f7ccf638141d19b53/previews/1024_01.jpg
8,Practicing hygiene,hand washing,basin,7,"Friedl, E. (1963). Vasilika: a village in modern Greece. In Case studies in cultural anthropology (pp. 18, 110). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=eh01-002","Dubisch, J. (1986). Culture enters through the kitchen: women, food, and social boundaries in rural Greece. In gender & power in rural greece (pp. 195–214). Princeton University Press. https://ehrafworldcultures.yale.edu/document?id=eh01-026",,Europe-Greece,hand washing,assets/5d4bf15dcf0b3a0f3f356640/5d4bf15dcf0b3a0f3f356640.jpg
9,Practicing hygiene,hand washing,bowl,33,"Hansen, H. H. (1961). The Kurdish woman’s life: field research in a Muslim society, Iraq. In Copenhagen Ethnographic Museum Record (Issue 7, pp. ix, 213 , 99 plates). Nationalmuseet. https://ehrafworldcultures.yale.edu/document?id=ma11-004",,,Asia-Iraq,hand washing,assets/5fd04d46f2d9500e435965b7/32efce17a9f8d09abe2d801d5da357bc/previews/1024_01.jpg
10,Practicing hygiene,hand washing,kettle,3,"Chapelle, J., & Schütze, F. (1957). Black nomads of the Sahara. Librairie Plon. https://ehrafworldcultures.yale.edu/document?id=ms22-008",,,Africa-Chad,hand washing,assets/5d4bf37fcf0b3a0f3f35a21a/5d4bf37fcf0b3a0f3f35a21a.jpg
11,Practicing hygiene,hand washing,calabash,1,"Skinner, Elliott P. (Elliott Percival). 1974. African Urban Life: The Transformation of Ouagadougou. Princeton, N.J.: Princeton University Press. https://ehrafworldcultures.yale.edu/document?id=fa28-013.",,,Africa-Burkina Faso,hand washing,assets/5d4beaa2cf0b3a0f3f34acbc/5d4beaa2cf0b3a0f3f34acbc.jpg
12,Practicing hygiene,hand washing,barrel,3,"Laughlin, W. S. (1980). Aleuts, survivors of the Bering Land Bridge. In Case studies in cultural anthropology (pp. vii, 151). Holt, Rinehart, and Winston. https://ehrafworldcultures.yale.edu/document?id=na06-071","Campbell, J. K. (1964). Honour, family and patronage: a study of institutions and moral values in a Greek mountain community. Clarendon Press. https://ehrafworldcultures.yale.edu/document?id=eh01-011",,"America-US, Europe-Greece",hand washing,assets/5d4bed16cf0b3a0f3f34efaa/5d4bed16cf0b3a0f3f34efaa.jpg
13,Practicing hygiene,hand washing,fountain,1,"Pierce, J. E. (1964). Life in a Turkish village. In Case studies in cultural anthropology (pp. xii, 102). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=mb01-003",,,"Europe-Turkey, Asia-Turkey",hand washing,assets/5f63c56256d7d1ea6aff6d01/5f63c56256d7d1ea6aff6d01.jpg
14,Practicing hygiene,hand washing,hand sanitizer,3,"Singh, P., Potlia, I., Malhotra, S., Dubey, H., & Chauhan, H. (2020). Hand sanitizer an alternative to hand washing—a review of literature. Journal of Advanced Oral Research, 11(2), 137-142.",,,"General, America-US",hand washing,assets/5d4be1abcf0b3a0f3f33b721/5d4be1abcf0b3a0f3f33b721.jpg
15,Practicing hygiene,eliminating human waste,toilet,447,"Hannan, D. (1979). Displacement and development: class, kinship, and social change in Irish rural communities. In Paper (Issue 96, p. 231). Economic and Social Research Institute. https://ehrafworldcultures.yale.edu/document?id=er06-020",,,Europe-Ireland,toilet,assets/5d4bf05fcf0b3a0f3f354cf4/5d4bf05fcf0b3a0f3f354cf4.jpg
16,Practicing hygiene,eliminating human waste,bucket,8,"Warren, Dennis M. 1975. The Techiman-Bono of Ghana: An Ethnography of an Akan Society. Dubuque, Iowa: Kendall/Hunt Pub. Co. https://ehrafworldcultures.yale.edu/document?id=fe12-054.",,,Africa-Ghana,toilet,assets/5fd04d4df2d9500e435965f7/bbee15e006c5b7ba41cd98dd0b516f84/previews/1024_01.jpg
17,Practicing hygiene,eliminating human waste,latrine,13,"Pierce, J. E. (1964). Life in a Turkish village. In Case studies in cultural anthropology (pp. xii, 102). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=mb01-003","Saggs, H. W. F. 1988. “The Greatness That Was Babylon: A Survey of the Ancient Civilization of the Tigris-Euphrates Valley.” In Great Civilization Series, xxii, 487. London: Sidgwick and Jackson. https://ehrafworldcultures.yale.edu/document?id=mh07-001.",,"Europe-Turkey, Asia-Turkey, Asia-Iraq",toilet,assets/5d4bf34dcf0b3a0f3f359d60/5d4bf34dcf0b3a0f3f359d60.jpg
18,Practicing hygiene,eliminating human waste,outhouse,13,"Gabrilopoulos, Nick, Charles Mather, and Caesar Roland Apentiik. 2002. “Lineage Organisation of the Tallensi Compound: The Social Logic of Domestic Space.” Africa Vol. 72 (2): 221–44. https://ehrafworldcultures.yale.edu/document?id=fe11-014.",,,Africa-Ghana,toilet,assets/5fd028fd1f89a90d2a769b20/f06f0539f145fc8a93a5219e7d93cd27/previews/1024_01.jpg
19,Practicing hygiene,eliminating human waste,forest,4,"Davenport, William. 1972. “Social Organization Notes on the Northern Santa Cruz Islands: The Outer Reef Islands.” Baessler-Archiv; Beiträge Zur Völkerkunde, 11–95. https://ehrafworldcultures.yale.edu/document?id=on13-012.","Shepardson, Mary, and Blodwen Hammond. 1970. The Navajo Mountain Community: Social Organization and Kinship Terminology. Berkeley: University of California Press. https://ehrafworldcultures.yale.edu/document?id=nt13-241.",,"Oceania-Solomon Islands, America-US",toilet,assets/5d4bef06cf0b3a0f3f3527a8/5d4bef06cf0b3a0f3f3527a8.jpg
